SUMLEV	GEOID	GEOCODE	NAME	BASENAME	total_population_p001	white	black	american_indian	asian	pacific_islander	other	two_or_more	total_population_p002	hispanic	not_hispanic	housing_units_total	housing_units_occupied	housing_units_vacant
620	620L600US51061	51061	State House District 61	61	76980	47867	23786	266	391	16	1334	3320	76980	2555	74425	40301	31671	8630
620	620L600US51062	51062	State House District 62	62	93762	48281	28542	628	2751	131	6668	6761	93762	11507	82255	33333	31507	1826
620	620L600US51063	51063	State House District 63	63	81585	27868	45274	365	844	113	2420	4701	81585	4978	76607	36309	32433	3876
620	620L600US51064	51064	State House District 64	64	82947	57341	18612	338	804	75	1095	4682	82947	2733	80214	35890	32932	2958
620	620L600US51065	51065	State House District 65	65	99689	78294	10620	221	3251	62	1147	6094	99689	3645	96044	37863	35916	1947
620	620L600US51066	51066	State House District 66	66	91025	58781	19179	353	2537	79	3570	6526	91025	7147	83878	35685	34216	1469
620	620L600US51067	51067	State House District 67	67	85614	43087	5029	280	24713	28	4210	8267	85614	10050	75564	28951	28224	727
620	620L600US51068	51068	State House District 68	68	85282	69614	6024	151	2794	30	1645	5024	85282	4094	81188	37516	35889	1627
620	620L600US51069	51069	State House District 69	69	88245	27681	42044	472	1562	70	10395	6021	88245	14540	73705	42364	39339	3025
620	620L600US51070	51070	State House District 70	70	87440	20300	46887	583	1612	38	12246	5774	87440	16932	70508	35368	33433	1935
620	620L600US51071	51071	State House District 71	71	90173	36586	42359	268	3713	33	1859	5355	90173	4438	85735	46416	41545	4871
620	620L600US51072	51072	State House District 72	72	87995	56420	11629	308	10465	38	3046	6089	87995	6397	81598	36561	34802	1759
620	620L600US51073	51073	State House District 73	73	85450	52299	12290	350	9184	37	4741	6549	85450	8603	76847	37919	36108	1811
620	620L600US51074	51074	State House District 74	74	83312	24841	48498	797	2269	56	2155	4696	83312	4273	79039	36699	34539	2160
620	620L600US51075	51075	State House District 75	75	74425	31211	38846	230	233	41	1218	2646	74425	2496	71929	32369	27336	5033
620	620L600US51076	51076	State House District 76	76	93933	55640	26554	348	2651	122	1540	7078	93933	4750	89183	35747	33820	1927
620	620L600US51077	51077	State House District 77	77	81635	24172	47022	466	1345	93	3031	5506	81635	6215	75420	33336	31145	2191
620	620L600US51078	51078	State House District 78	78	90644	60893	15853	350	4102	112	1771	7563	90644	5895	84749	35525	34385	1140
620	620L600US51079	51079	State House District 79	79	71908	37354	23642	466	2305	215	2446	5480	71908	6976	64932	24950	23025	1925
620	620L600US51080	51080	State House District 80	80	87963	29583	48411	351	1806	129	1846	5837	87963	4577	83386	39382	36335	3047
620	620L600US51081	51081	State House District 81	81	86235	58477	14075	382	2579	176	2975	7571	86235	7650	78585	33825	30531	3294
620	620L600US51082	51082	State House District 82	82	82393	63368	7779	324	2681	96	1693	6452	82393	5383	77010	39454	35737	3717
620	620L600US51083	51083	State House District 83	83	83782	55356	12375	365	4550	163	3261	7712	83782	8128	75654	36810	34727	2083
620	620L600US51084	51084	State House District 84	84	81895	48619	14417	335	7215	167	2368	8774	81895	7449	74446	29876	28919	957
620	620L600US51085	51085	State House District 85	85	85838	48750	17865	433	6818	148	2969	8855	85838	8190	77648	35671	33940	1731
620	620L600US51086	51086	State House District 86	86	88485	37531	7205	650	20490	39	12426	10144	88485	21831	66654	30680	29559	1121
620	620L600US51087	51087	State House District 87	87	130110	52597	11296	528	42052	80	9401	14156	130110	19447	110663	41992	40809	1183
620	620L600US51088	51088	State House District 88	88	102198	64526	16872	536	3538	118	5692	10916	102198	13082	89116	37171	35472	1699
620	620L600US51089	51089	State House District 89	89	79512	28337	40595	293	2264	121	2219	5683	79512	5395	74117	35904	32870	3034
620	620L600US51090	51090	State House District 90	90	83529	23733	45986	449	4044	112	3007	6198	83529	7129	76400	34908	32821	2087
620	620L600US51091	51091	State House District 91	91	80968	50673	17006	345	3822	159	1728	7235	80968	5302	75666	33156	30993	2163
620	620L600US51092	51092	State House District 92	92	79095	22357	47138	388	1756	157	1836	5463	79095	4742	74353	36949	33901	3048
620	620L600US51093	51093	State House District 93	93	83205	44218	23779	337	3728	178	3786	7179	83205	8365	74840	35205	32539	2666
620	620L600US51094	51094	State House District 94	94	83035	44244	24249	388	2880	175	3761	7338	83035	8140	74895	34841	32697	2144
620	620L600US51095	51095	State House District 95	95	80964	21516	47146	438	2058	139	3423	6244	80964	7343	73621	37374	33983	3391
620	620L600US51096	51096	State House District 96	96	92312	67462	12061	306	3010	98	1831	7544	92312	5820	86492	39319	36419	2900
620	620L600US51097	51097	State House District 97	97	89637	72502	8959	687	1250	44	1156	5039	89637	2760	86877	35865	34345	1520
620	620L600US51098	51098	State House District 98	98	79664	61994	10926	439	556	52	900	4797	79664	2555	77109	40781	33265	7516
620	620L600US51099	51099	State House District 99	99	83356	56981	17677	397	809	33	2082	5377	83356	4290	79066	44441	33950	10491
620	620L600US51100	51100	State House District 100	100	80702	45756	22033	628	1509	99	4676	6001	80702	8827	71875	45982	35285	10697
